date,open,high,low,close,volume
20230316,152.99,156.42,151.63,155.85,23002084
20230317,156.0,156.88,154.28,154.58,44789822
20230320,153.68,157.82,153.68,157.4,24421881
20230321,157.5,159.4,156.55,159.09,25362967
20230322,158.97,162.14,157.6,158.43,19183439
20230323,159.13,161.56,157.68,159.08,20639048
20230324,159.55,160.39,157.82,160.2,16575425
20230327,159.73,160.76,157.875,158.35,14491142
20230328,158.05,158.15,155.975,157.7,12299607
20230329,158.43,161.05,158.33,160.4,15262505
20230330,161.0,162.47,160.79,162.44,12286221
20230331,162.44,165.0,161.83,164.83,23062717
20230403,164.0,166.32,163.7,166.02,14939923
20230404,165.89,167.0,165.11,165.79,13500341
20230405,165.63,165.8,161.8,163.59,14353495
20230406,163.54,164.955,160.16,164.57,13068532
20230410,164.25,164.25,160.085,162.2,12782046
20230411,162.11,162.95,160.515,160.98,12852923
20230412,160.57,162.3,159.66,159.76,13626287
20230413,160.55,165.8,160.43,165.35,19993444
20230414,165.14,166.315,163.83,164.96,14366172
20230417,165.5,166.19,164.05,165.13,10771835
20230418,165.28,167.41,165.02,166.43,13539055
20230419,165.32,168.16,165.06,167.23,11954269
20230420,166.7,167.87,165.56,166.98,14388272
20230421,166.51,166.66,162.99,164.94,17714842
20230424,164.67,165.6,163.895,165.26,10308916
20230425,164.8,166.305,163.52,164.29,14657048
20230426,164.25,165.28,162.66,163.97,13812920
20230427,164.43,169.08,164.23,167.75,21922480
20230428,168.0,169.85,167.41,169.5,17202007
20230501,169.57,170.44,168.3,169.4,12643325
20230502,169.92,170.35,167.545,168.49,14922066
20230503,168.6,170.925,162.72,165.65,16022105
20230504,166.09,171.47,164.22,169.92,18840024
20230505,169.61,174.3,169.0,173.08,25140820
20230508,173.41,173.85,172.11,173.25,12439186
20230509,173.28,173.54,171.63,171.94,12124850
20230510,171.44,174.03,170.84,173.64,15230860
20230511,173.7,174.57,172.18,173.8,13333701
20230512,173.87,174.06,171.0,172.43,12336882
20230515,173.06,173.32,171.47,171.98,11028593
20230516,172.49,173.13,171.34,172.23,10630099
20230517,172.2,172.925,170.43,172.7,16398758
20230518,172.71,176.1,172.22,175.87,18699499
20230519,175.33,176.44,174.94,175.09,15226497
20230522,175.29,175.46,172.6,174.7,11527091
20230523,174.56,174.64,171.275,171.99,13986056
20230524,171.4,172.45,170.07,170.99,11197062
20230525,171.37,173.89,170.67,172.82,16542647
20230526,172.66,175.77,172.62,175.58,16252408
