19980619 00:00,273800,274400,267500,270000,1137300
19980622 00:00,270000,275600,267500,272500,1203500
19980623 00:00,274400,281300,272500,278100,1990300
19980624 00:00,277500,286300,273100,283100,2419400
19980625 00:00,285600,295600,283100,285300,1640400
19980626 00:00,285000,286300,277500,282500,998000
19980629 00:00,282500,288100,280600,287500,1409300
19980630 00:00,286300,288100,281300,287500,1087800
19980701 00:00,288800,300000,285000,300000,2689700
19980702 00:00,296900,300600,290000,290000,2660900
19980706 00:00,295000,303100,291300,303100,2168600
19980707 00:00,303800,308800,300000,305000,2130000
19980708 00:00,307500,329400,306900,325600,8373000
19980709 00:00,329400,336300,311300,316900,5008300
19980710 00:00,321900,326300,317500,320000,2484600
19980713 00:00,319400,341300,318800,339400,6119100
19980714 00:00,339400,340000,331300,334400,3371100
19980715 00:00,336900,348100,335000,345000,5560500
19980716 00:00,378800,383800,357500,375000,21768100
19980717 00:00,372500,372500,361900,368800,5353900
19980720 00:00,365600,366300,355000,361900,3351500
19980721 00:00,361300,370000,345000,355600,2838900
19980722 00:00,349400,357500,340600,350000,2503800
19980723 00:00,348100,357500,347500,350000,2152000
19980724 00:00,353800,355000,338100,346300,2462600
19980727 00:00,342500,348800,326300,343800,2052100
19980728 00:00,340600,346300,330000,335000,2023500
19980729 00:00,337500,358800,335600,350600,3898800
19980730 00:00,358100,367500,355000,364400,3136700
19980731 00:00,366300,367500,345000,345600,1543900
19980803 00:00,342500,355600,332500,350600,2626300
19980804 00:00,355000,360000,340000,341300,2565500
19980805 00:00,337500,360000,335000,359400,4082100
19980806 00:00,350600,368800,348800,368800,3859600
19980807 00:00,371900,373800,360000,365600,2630800
19980810 00:00,363100,380600,362500,380000,4122700
19980811 00:00,377500,410000,367500,390000,15671000
19980812 00:00,397500,410000,390000,400000,6107200
19980813 00:00,399400,407500,393800,394400,3408300
19980814 00:00,406900,407500,395000,405000,3838900
19980817 00:00,410000,428100,398800,419200,8586400
19980818 00:00,424400,433800,415000,427500,5532200
19980819 00:00,435000,437500,410000,410000,4242700
19980820 00:00,410000,411300,402500,406900,3528100
19980821 00:00,400000,435600,390000,430000,7335000
19980824 00:00,434400,435000,401300,412500,5583200
19980825 00:00,423800,423800,403100,408800,4420800
19980826 00:00,398800,411300,395000,403800,3614000
19980827 00:00,392500,392500,356300,375000,9913200
19980828 00:00,371300,393800,341300,342500,8223500
19980831 00:00,347500,348800,310000,311900,7707400
19980901 00:00,313800,353800,306300,341900,7664900
19980902 00:00,355000,373800,352500,355600,7492600
19980903 00:00,350000,351300,340000,347500,3595800
19980904 00:00,355000,364400,337500,351300,3384100
19980908 00:00,380000,382500,367500,381900,3566400
19980909 00:00,380600,381300,370000,374400,3134300
19980910 00:00,362500,382500,357500,381900,4988600
19980911 00:00,385000,396300,368800,375600,3231200
19980914 00:00,382500,388100,371300,371300,2092900
19980915 00:00,367500,385600,360000,381900,3727400
19980916 00:00,386300,387500,370000,372500,2269700
19980917 00:00,360600,371300,358800,360000,2308100
19980918 00:00,360600,367500,353800,367500,2639200
19980921 00:00,356900,369400,350000,368800,2564100
19980922 00:00,371300,376300,363800,370600,2239300
19980923 00:00,372500,383100,365600,382500,2363700
19980924 00:00,378800,395600,377500,385600,4387700
19980925 00:00,381900,391900,376300,387500,1948800
19980928 00:00,397500,401900,386300,390600,3559800
19980929 00:00,390600,400000,381300,394400,2915500
19980930 00:00,387500,392500,380000,381900,1575600
19981001 00:00,367500,380000,353800,357500,3105400
19981002 00:00,355000,362500,341300,350600,3973300
19981005 00:00,340000,345600,315000,321900,5058100
19981006 00:00,336900,343100,325000,325600,3490500
19981007 00:00,323800,333100,311900,319400,4594700
19981008 00:00,310000,311900,285000,308100,6134700
19981009 00:00,320000,351900,307500,351300,5782400
19981012 00:00,375000,384400,365600,373800,5470300
19981013 00:00,380600,391900,360000,388800,8275100
19981014 00:00,397500,417500,368100,375000,20110500
19981015 00:00,362500,372500,355000,366300,7149200
19981016 00:00,371300,380600,365600,366900,5434100
19981019 00:00,366900,380600,358800,374400,4265400
19981020 00:00,379400,381900,320000,361300,3412200
19981021 00:00,367500,374400,357500,371300,3835900
19981022 00:00,368800,376300,361900,367500,2815200
19981023 00:00,367500,368800,351300,355000,3217400
19981026 00:00,360600,377500,355000,374700,4104400
19981027 00:00,380000,389400,350600,352500,4527400
19981028 00:00,352500,375000,351300,367500,3315600
19981029 00:00,364400,374400,358100,363800,3042000
19981030 00:00,368100,379400,362500,370600,2837300
19981102 00:00,375000,377500,372500,375000,2223300
19981103 00:00,373800,382500,373100,378800,3411400
19981104 00:00,385600,392500,380000,386300,5727300
19981105 00:00,383800,393800,380600,381900,5341400
19981106 00:00,378800,382500,372500,380000,6958700
19981109 00:00,376900,381300,355000,366300,5895400
19981110 00:00,361900,368800,350000,350600,7447200
19981111 00:00,357500,358100,327500,336300,8415400
19981112 00:00,331300,344400,328800,340600,5193200
19981113 00:00,349400,360600,346900,356600,7017800
19981116 00:00,359400,367500,354400,359400,3180500
